round,AUC,Precision,Recall,F1
1,0.650,0.550,0.460,0.505
2,0.700,0.600,0.520,0.560
3,0.750,0.650,0.580,0.615
4,0.800,0.700,0.640,0.670
5,0.850,0.750,0.700,0.725
3,0.671617,0.002889,0.846939,0.005759
3,0.671617,0.002889,0.846939,0.005759
3,0.671617,0.002889,0.846939,0.005759
6,0.611388,0.002483,0.724490,0.004948
6,0.611388,0.002483,0.724490,0.004948
6,0.611388,0.002483,0.724490,0.004948
9,0.661911,0.002872,0.806122,0.005724
9,0.661911,0.002872,0.806122,0.005724
9,0.661911,0.002872,0.806122,0.005724
